index_name,company_name,valid_from,valid_to
TecDAX,Medigene AG SAP SE,2018-09-24,
TecDAX,Micronas Semiconductor Q-Cells,2005-12-19,
TecDAX,Nagarro N,2026-06-22,
TecDAX,Nexus,2024-12-23,
TecDAX,Nordex Süss Micro Tec,2003-09-22,
TecDAX,PVA Tepla,2026-06-22,
TecDAX,Phoenix Solar PSI,2011-09-19,
TecDAX,Plambeck Neue Energien Teles,2003-09-22,
TecDAX,SAP Systems Integration Funkwerk,2004-09-20,
TecDAX,SCM Microsystems MorphoSys,2004-09-20,
TecDAX,SLM Solutions AG Deutsche Telekom AG,2018-09-24,
TecDAX,SMA Solar Technol. Infineon Tech. AG,2018-09-24,
TecDAX,SMA Solar Technology,2024-12-23,
TecDAX,SOLON Drillisch,2009-09-21,
TecDAX,Singulus Tec. BB Biotech,2012-09-24,
TecDAX,Singulus Technologies Manz Automation,2009-09-21,
TecDAX,Suess Microtec,2024-03-18,
TecDAX,Süss Micro Tec Nemetschek,2013-09-23,
TecDAX,TecDAX®,2003-03-24,
TecDAX,Verbio,2024-03-18,
TecDAX,Versatel Jenoptik,2008-12-22,
TecDAX,WEDECO Rofin-Sinar Technologies,2004-03-22,
TecDAX,announcement Deletion  Addition,2003-03-24,
TecDAX,change,2003-03-24,
TecDAX,freenet.de Carl Zeiss Meditec,2007-03-05,
